Nombre,Marca,Tienda,Puntuacion,Cantidad de puntuaciones,Precio real,Precio oferta,Descuento,Imagen
Refrigerante Prestone Max Rojo 50% Para Toyota Lexus Galón,PRESTONE,Por Repuestos Davalos ,4.8,(26),S/70,"S/64,01",8% OFF,https://http2.mlstatic.com/D_Q_NP_2X_966080-MLU72864255163_112023-AB.webp
Apple iPhone 13 (128 Gb) - Blanco Estelar - Distribuidor Autorizado,APPLE,Por Apple ,4.8,(453),S/2.351,S/1.969,16% OFF,https://http2.mlstatic.com/D_Q_NP_2X_736168-MLA47781742030_102021-AB.webp
Xiaomi Redmi Buds 6 Play Bluetooth 5.4 Color Negro,XIAOMI,Por CASEMOTIONS PE ,4.7,(1831),S/100,S/41,59% OFF,https://http2.mlstatic.com/D_Q_NP_2X_999347-MLA80055007222_102024-AB.webp
Nitro Tech 100% Whey Gold 5lb,MUSCLETECH,Por Lab Nutrition ,4.8,(176),S/399,"S/259,90",34% OFF,https://http2.mlstatic.com/D_Q_NP_2X_984802-MLU77967066198_082024-AB.webp
Monitor Gamer LG Con Pantalla De 27  220v Y Resolución Full Hd,LG,No disponible,4.6,(10),"S/892,94","S/642,91",28% OFF,https://http2.mlstatic.com/D_Q_NP_2X_616344-MLA80680597637_112024-AB.webp
Gimnasio Xxl De 2 Metros Para Gatos,GENÉRICA,Por Que Patas Pet Shop ,4.8,(5),"S/679,25",S/443,34% OFF,https://http2.mlstatic.com/D_Q_NP_2X_782094-MPE75174347918_032024-AB.webp
Zapatera Plegable De 6 Niveles Organizador De Almacenamiento,GENÉRICA,Por Hannzo Store ,4.8,(211),S/180,"S/75,50",58% OFF,https://http2.mlstatic.com/D_Q_NP_2X_644137-MPE83302767474_042025-AB-zapatera-plegable-de-6-niveles-organizador-de-almacenamiento.webp
Xiaomi Redmi Note 14 Pro 5g Negro 256gb 8ram 200mpx,XIAOMI,No disponible,4.7,(65),S/1.758,S/1.054,40% OFF,https://http2.mlstatic.com/D_Q_NP_2X_728685-MLA81874290750_012025-AB.webp
Auriculares In-ear Inalámbricos Bluetooth AirPods Pro 2nd Generation Mtjv3am/a Blanco Con Luz Verde Lima,APPLE,Por CASEMOTIONS PE ,4.8,(249),S/1.499,"S/929,38",38% OFF,https://http2.mlstatic.com/D_Q_NP_2X_888626-MLA75077823337_032024-AB.webp
"Laptop Lenovo V15 G4 Iru Core I3-1315u, 8gb Ddr4, Ssd 256gb Gris",LENOVO,Por PC YA Empresarial ,No disponible,No disponible,S/1.499,S/1.299,13% OFF,https://http2.mlstatic.com/D_Q_NP_2X_817402-MPE84366402186_052025-AB.webp
Elastiflex Ultra Complex Lat Pharma Condroitina Msm 450g,LAT PHARMA,No disponible,No disponible,No disponible,S/350,"S/332,50",5% OFF,https://http2.mlstatic.com/D_Q_NP_2X_811003-MPE82073354557_012025-AB-elastiflex-ultra-complex-lat-pharma-condroitina-msm-450g.webp
Bange 1908 Mochila Viajera Urbana Color Negro 37l,BANGE,Por Bange ,4.9,(161),S/248,S/205,17% OFF,https://http2.mlstatic.com/D_Q_NP_2X_866522-MLA53827525822_022023-AB.webp
"Case Deepcool Cg530 4f, V/templado, Argb Color Negro",DEEPCOOL,Por Wondercris ,5.0,(6),S/499,S/429,14% OFF,https://http2.mlstatic.com/D_Q_NP_2X_947912-MLA81513301815_122024-AB.webp
"Xiaomi Redmi Note 14 4g 6,67 256gb 8gb Ram Cámara 108mpx - Color Negro",XIAOMI,No disponible,4.8,(88),S/1.182,"S/709,20",40% OFF,https://http2.mlstatic.com/D_Q_NP_2X_701179-MLA82195775895_012025-AB.webp
Sony Audífonos Inalámbricos Noise Cancelling Wh-1000xm6 Negro,SONY,Por Sony ,No disponible,No disponible,S/1.699,S/1.599,5% OFF,https://http2.mlstatic.com/D_Q_NP_2X_671296-MPE84684296370_052025-AB.webp
Macbook Air 15  Chip M4 | 16gb 512ssd | Teclado Español,APPLE,Por Cases World ,5.0,(1),S/7.526,S/6.999,7% OFF,https://http2.mlstatic.com/D_Q_NP_2X_634766-MPE83545319171_042025-AB-macbook-air-15-chip-m4-16gb-512ssd-teclado-espanol.webp
Terma Eléctrica Sole Evolucion 50 Litros Para Pared C/acc,SOLE,Por Sole ,5.0,(6),S/679,S/599,11% OFF,https://http2.mlstatic.com/D_Q_NP_2X_906738-MPE75591985886_042024-AB-terma-electrica-sole-evolucion-50-litros-para-pared-cacc.webp
Disco Sólido   1tb   Ssd Kingston ( Original ) 960gb,KINGSTON,No disponible,4.9,(270),"S/320,90",S/279,13% OFF,https://http2.mlstatic.com/D_Q_NP_2X_690585-MPE75357278001_032024-AB-disco-solido-1tb-ssd-kingston-original-960gb.webp
Apple iPhone 15 (128 Gb) - Rosa,APPLE,No disponible,4.8,(639),S/4.615,S/2.769,40% OFF,https://http2.mlstatic.com/D_Q_NP_2X_958009-MLA71782868134_092023-AB.webp
Audifonos Apple AirPods Pro (2ª Gen) Estuche Magsafe (usb-c),APPLE,Por CASEMOTIONS PE ,4.8,(223),S/1.499,"S/929,38",38% OFF,https://http2.mlstatic.com/D_Q_NP_2X_952556-MPE72456164757_102023-AB-audifonos-apple-airpods-pro-2-gen-estuche-magsafe-usb-c.webp
"Monitor Gaming Odyssey G4 De 27 . Fhd, 240hz, 1ms",SAMSUNG,Por Samsung ,4.8,(53),S/1.199,S/849,29% OFF,https://http2.mlstatic.com/D_Q_NP_2X_814517-MPE54616871638_032023-AB-monitor-gaming-odyssey-g4-de-27-fhd-240hz-1ms.webp
Bicimoto Kayencorp Zkk 48v 25 Km/h,KAYENCORP,No disponible,No disponible,No disponible,S/4.999,S/4.199,16% OFF,https://http2.mlstatic.com/D_Q_NP_2X_857098-MPE84239149633_042025-AB-bicimoto-kayencorp-zkk-48v-25-kmh.webp
Escritorio Eléctrico Evox Y201 Con Altura Regulable Negro,EVOX,Por Jota Store ,No disponible,No disponible,S/667,S/489,26% OFF,https://http2.mlstatic.com/D_Q_NP_2X_641877-MPE83876198526_042025-AB.webp
Monitor Gamer LG Con Pantalla De 27  220v Y Resolución Full Hd,LG,No disponible,No disponible,No disponible,"S/892,94","S/642,91",28% OFF,https://http2.mlstatic.com/D_Q_NP_2X_616344-MLA80680597637_112024-AB.webp
Creatina Monohidratada 1 Kg [200 Servicios] - Importado,DIETARY SUPPLEMENTS,Por Tersus ,4.9,(11),S/150,S/111,26% OFF,https://http2.mlstatic.com/D_Q_NP_2X_926521-MPE82004617901_012025-AB-creatina-monohidratada-1-kg-200-servicios-importado.webp
Zte Blade V60 Smart 256 Gb Negro 4 Gb Ram,ZTE,Por ZTE ,4.7,(108),S/499,S/349,30% OFF,https://http2.mlstatic.com/D_Q_NP_2X_951044-MLA84856699671_052025-AB.webp
Xb X-burn Pack 15x2 Quemador De Grasa +regalo Tienda Fisica,UNIVERSE NUTRITION,Por Nutrigame ,4.9,(72),S/70,"S/39,90",43% OFF,https://http2.mlstatic.com/D_Q_NP_2X_659351-MPE77362556713_062024-AB-xb-x-burn-pack-15x2-quemador-de-grasa-regalo-tienda-fisica.webp
"Xiaomi Redmi Note 14 8gb Ram 256gb Amoled 6,67 Cámara 108mp Azul",XIAOMI,No disponible,4.8,(114),S/1.182,"S/709,20",40% OFF,https://http2.mlstatic.com/D_Q_NP_2X_816197-MLA84847202591_052025-AB.webp
Impresora Multifunción A Color Hp Smart Tank 750 Con Wifi 220v,HP,Por HP Store ,4.6,(13),S/1.599,S/999,37% OFF,https://http2.mlstatic.com/D_Q_NP_2X_930488-MLA83740592938_042025-AB.webp
Cama Donut Antialérgica Para Mascotas Perros Gatos - S Beige Beige,QUÉ PATAS PET SHOP,Por Que Patas Pet Shop ,No disponible,No disponible,"S/73,49",S/39,46% OFF,https://http2.mlstatic.com/D_Q_NP_2X_787544-MPE85025783563_052025-AB.webp
Audífonos Inalámbricos Xiaomi Redmi Buds 5 Pro Color Negro,XIAOMI,No disponible,4.7,(464),S/312,S/214,31% OFF,https://http2.mlstatic.com/D_Q_NP_2X_809993-MLA84846925561_052025-AB.webp
Laptop Asus Tuf Gaming A15 R5 8gb 512gb Rtx3050 4gb W11 15'',ASUS,Por Asus ,4.5,(12),S/3.237,S/2.699,16% OFF,https://http2.mlstatic.com/D_Q_NP_2X_915984-MPE81667475566_012025-AB-laptop-asus-tuf-gaming-a15-r5-8gb-512gb-rtx3050-4gb-w11-15.webp
Zinc Picolinate Solgar 22mg 100tab,SOLGAR,Por Lab Nutrition ,4.8,(13),S/119,"S/97,90",17% OFF,https://http2.mlstatic.com/D_Q_NP_2X_967631-MPE49999938520_052022-AB.webp
